consumption,interval_start,interval_end,date,time
0.014,2022-05-30T04:00:00Z,2022-05-30T04:30:00Z,2022-05-30,04:00:00
0.036,2022-05-30T04:30:00Z,2022-05-30T05:00:00Z,2022-05-30,04:30:00
0.014,2022-05-30T05:00:00Z,2022-05-30T05:30:00Z,2022-05-30,05:00:00
0.037,2022-05-30T05:30:00Z,2022-05-30T06:00:00Z,2022-05-30,05:30:00
0.014,2022-05-30T06:00:00Z,2022-05-30T06:30:00Z,2022-05-30,06:00:00
0.022,2022-05-30T06:30:00Z,2022-05-30T07:00:00Z,2022-05-30,06:30:00
0.028,2022-05-30T07:00:00Z,2022-05-30T07:30:00Z,2022-05-30,07:00:00
0.013,2022-05-30T07:30:00Z,2022-05-30T08:00:00Z,2022-05-30,07:30:00
0.037,2022-05-30T08:00:00Z,2022-05-30T08:30:00Z,2022-05-30,08:00:00
0.014,2022-05-30T08:30:00Z,2022-05-30T09:00:00Z,2022-05-30,08:30:00
0.032,2022-05-30T09:00:00Z,2022-05-30T09:30:00Z,2022-05-30,09:00:00
0.018,2022-05-30T09:30:00Z,2022-05-30T10:00:00Z,2022-05-30,09:30:00
0.016,2022-05-30T10:00:00Z,2022-05-30T10:30:00Z,2022-05-30,10:00:00
0.034,2022-05-30T10:30:00Z,2022-05-30T11:00:00Z,2022-05-30,10:30:00
0.014,2022-05-30T11:00:00Z,2022-05-30T11:30:00Z,2022-05-30,11:00:00
0.037,2022-05-30T11:30:00Z,2022-05-30T12:00:00Z,2022-05-30,11:30:00
0.014,2022-05-30T12:00:00Z,2022-05-30T12:30:00Z,2022-05-30,12:00:00
0.033,2022-05-30T12:30:00Z,2022-05-30T13:00:00Z,2022-05-30,12:30:00
0.08,2022-05-30T13:00:00Z,2022-05-30T13:30:00Z,2022-05-30,13:00:00
0.053,2022-05-30T13:30:00Z,2022-05-30T14:00:00Z,2022-05-30,13:30:00
0.014,2022-05-30T14:00:00Z,2022-05-30T14:30:00Z,2022-05-30,14:00:00
0.032,2022-05-30T14:30:00Z,2022-05-30T15:00:00Z,2022-05-30,14:30:00
